Line,Title,Subset PC1,Subset PC2,Full PC1,Full PC2
1,THE SOCIAL ORGANIZATION OF THE VOCAL GROUP,-0.24,0.1,-0.24,0.14
2,RELATIONSHIP OF ORCHESTRA TO VOCAL PARTS,-0.02,-0.22,0.07,0.25
3,SOCIAL ORGANIZATION OF THE ORCHESTRA,-0.2,-0.3,-0.07,0.34
4,MUSICAL ORGANIZATION OF THE VOCAL PART,-0.23,0.16,-0.26,0.02
5,TONAL BLEND OF THE VOCAL GROUP,-0.23,0.16,-0.3,0.07
6,RHYTHMIC COORDINATION OF THE VOCAL GROUP,-0.27,0.11,-0.31,0.11
7,MUSICAL ORGANIZATION OF THE ORCHESTRA,-0.14,-0.38,-0.0,0.36
8,TONAL BLEND OF THE ORCHESTRA,-0.11,-0.2,-0.08,0.32
9,RHYTHMIC COORDINATION OF THE ORCHESTRA,-0.19,-0.28,-0.09,0.34
10,REPETITION OF TEXT,-0.24,-0.09,-0.27,-0.02
11,OVERALL RHYTHM: VOCAL,0.15,-0.01,0.1,-0.13
12,RHYTHMIC RELATIONSHIP WITHIN THE VOCAL GROUP,-0.21,0.1,-0.24,0.06
13,OVERALL RHYTHM: ORCHESTRA,0.05,-0.33,0.09,0.29
14,RHYTHMIC RELATIONSHIP WITHIN THE ORCHESTRA,-0.22,-0.3,-0.09,0.34
15,MELODIC SHAPE,-0.09,-0.05,-0.06,-0.06
16,MELODIC FORM,-0.19,0.08,-0.23,-0.14
17,PHRASE LENGTH,-0.15,-0.02,-0.08,-0.09
18,NUMBER OF PHRASES,-0.18,0.02,-0.21,-0.12
19,POSITION OF FINAL TONE,0.11,-0.06,0.06,-0.03
20,MELODIC RANGE,0.06,-0.14,0.06,0.02
21,INTERVAL SIZE,-0.16,0.19,-0.21,-0.09
22,POLYPHONIC TYPE,-0.08,0.17,-0.14,-0.03
23,EMBELLISHMENT,-0.15,0.23,-0.23,-0.14
24,TEMPO,-0.16,-0.04,-0.14,0.03
25,VOLUME,-0.08,-0.27,-0.09,0.14
26,RUBATO: VOCAL,-0.23,0.01,-0.22,0.07
27,RUBATO: ORCHESTRA,-0.17,-0.04,-0.05,0.0
28,GLISSANDO,-0.2,0.05,-0.11,-0.03
29,MELISMA,-0.13,0.15,-0.16,-0.08
30,TREMOLO,-0.24,-0.09,-0.27,-0.01
31,GLOTTAL,-0.15,0.17,-0.12,-0.11
32,VOCAL PITCH (REGISTER),-0.1,0.02,-0.06,-0.1
33,VOCAL WIDTH,-0.11,0.08,-0.12,-0.2
34,NASALITY,-0.09,0.05,-0.16,-0.1
35,RASP,-0.02,0.03,-0.06,-0.09
36,ACCENT,-0.1,0.02,0.04,-0.1
37,ENUNCIATION,-0.13,-0.1,-0.16,-0.08
