Cu_lat,Cu_long,Area_lat,Area_long,Region,Division,Subregion,Area/Kingdom,Culture,People,People2,People3,Arensberg-Lomax_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Arensberg/Lomax_taxon,Taxon_id,Language,Lang_Family,ISO_code,Glottocode,Country,Country_id,All_cid,C_cid,M_cid,Ch_cid,P_cid,Ph_cid,I+cid,Soc_cid,D-Place_Id,C_sample_size,M_sample_size,P_sample_size,Ph_sample_size,Alt_culture_names,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_Prov_notes,EA_#,Culture_Wiki,People/Culture,Notes_1,Notes_2,Culture Sources
3.13,26.89,3.73,25.03,Africa,Central Africa,Equatorial Central Africa,"Bas-Uele Prov, N DR Congo",Mangbetu,Mangbetu-Asua,Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,,"Monsoon, Tropical Savannah","Am, Aw",AH-Tropical Forest,scfal762,Mangbetu (Nemangbetu--Regional: Lingala),"Central Sudanic, Mangbetu-Asua, Mangbetuic",ISO 639-3: mdj ,mang1394,Congo,,20769,,,20769,,,,20769,,,,,,Monbutto,MANGBETU,Ai11,,Azande-Mangbetu,34,,8529,wiki,"The political institutions and the building, potting and sculpting artistry of the Mangbetu aroused the interest of early travelers.",,Glottolog shows that Mangbetu speak 'Mangbetu',@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomang1394 @Ethnomdj  @WikiMangbetu  
4.13,23.15,3.73,25.03,Africa,Central Africa,Equatorial Central Africa,"Bas-Uele Prov, N DR Congo",Mbole,Kele,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,,"Tropical Savannah, Monsoon","Aw, Am",,,Mbole,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Kele",ISO 639-3: mdq,mbol1247,Democratic Republic of the Congo,,11540,,,11540,,,,,,,,,,,,,,Western Central Bantu,6,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottombol1247 @Ethnomdq @WikiMbole  
-0.71,15.75,-0.54,16.2,Africa,Central Africa,Equatorial Central Africa,"Cuvette Dept, C Congo",Kouyou,Koyo-Mboshi,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,,,Koyo,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Central-Western Bantu, Koyo-Mboshi",ISO 639-3: koh,koyo1242,Republic of the Congo,,19022,19022,,,,,,,,3,,,,Koyo; Kuyu,,,,Southern Equatorial Bantu,14,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottokoyo1242 @Ethnokoh  @WikiKouyou 
-1.54,20.43,0.17,19.02,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,Mongo,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1952,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Waterside,scfal569,Mongo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid",ISO 639-3: lol,mong1338,Democratic Republic of the Congo,,15027,15027,,15027,,15027,15027,15027,,10,,,10,Baseka; Mongo-Ekonde,EKONDA,Ae20,15027,Southern Equatorial Bantu,14,,45882,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomong1338 @Ethnolol @WikiMongo  
2.01,27.95,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Budu,Lebonya,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1954,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Rain Forest,scfal577,Budu,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Lebonya, Nyali-Ndaka-Mbo-Budu-Vanuma",ISO 639-3: buu,budu1250,Democratic Republic of the Congo,,12662,12662,,,,,,12662,,2,,,,Babudu; Bodo; Ebudu; Kibudu,BUDU,Ae31,12662,Northern Equatorial Bantu,16,,30257,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobudu1250 @Ethnobuu @WikiBudu  
2.68,28.99,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,Mangbetu-Asua,Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,1952,Tropical Savannah,Aw,AH-Tropical Forest,scfal761,Mamvu,"Atlantic-Congo, Volta-Congo, Adamawa-Ubangi",ISO 639-3: mdi,mamv1243,Democratic Republic of the Congo,,20681,20681,,,,,,20681,,8,,,,Momfu,MAMVU,Ai5,20681,Azande-Mangbetu,34,,51536,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomamv1243 @Ethnomdi @WikiMamvu  
2.81,27.83,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,Mundu-Baka,Camaroon-Ubangian,West & Central African Peoples,Tropical Gardeners,1952; 1949-50,"Monsoon, Tropical Savannah","Am, Aw",AH-Tropical Forest,scfal763,Mayogo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu, Koyo-Mboshi",ISO 639-3: mdm,mayo1261,Democratic Republic of the Congo,,21044,21044,,21044,,,,21044,,10,,,,,MAYOGO,,21044,Southern Equatorial Bantu,14,added for GJB,13394,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomayo1261 @Ethnomdm @WikiMayogo  
2.39,27.3,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Medje Mangbetu,Mangbetu-Asua,Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,,Monsoon,Am,,,Meje,"Central Sudanic, Mangbetu-Asua, Mangbetuic, Mangbetu",,meje1239,Democratic Republic of the Congo,,21165,,,21165,,,,,,,,,,Mangbetu; Meje,MANGBETU,Ai11,,Azande-Mangbetu,34,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomeje1239  @WikiMangbetu  
3.65,28.59,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Ndongo,Ubangi,Volta Congo Peoples,West & Central African Peoples,Tropical Gardeners,1952,Tropical Savannah,Aw,,,Sama,"Atlantic-Congo, Volta-Congo, Ubangi",ISO 639-3: smd,sama1300,Angola,,22331,22331,,,,,,22331,,2,,,,,NDONGO,,22331,Western Central Bantu,6,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottosama1300 @Ethnosmd @WikiNdongo  
1.17,28.76,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Forest Bira,Old Bomokandian,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1954,Tropical Savannah,Aw,AH-Tropical Forest,scfal721,Bila,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Old Bomokandian, Komoic, Bila-Kaiku",ISO 639-3: bip,bila1255,Democratic Republic of the Congo,,15412,15412,,,,,,15412,,2,1,,,Kango; Bakango; Batchua; Bila,FOREST BIRA,Ae30,15412,Northern Equatorial Bantu,16,,59951,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobila1255 @Ethnobip @WikiBila  
